,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Tickets Sold Category
254,Western,2013,4,145859175.0,17940856,160929478,Very Popular
255,Western,2014,2,2323054.0,284339,2550521,Popular
256,Western,2015,6,29521197.0,3501919,31412213,Very Popular
257,Western,2016,7,147170965.0,16628696,149159403,Very Popular
258,Western,2017,8,61575125.0,6864560,61575103,Very Popular
259,Western,2018,7,33408750.0,3724495,33408720,Very Popular
260,Concert or Performance,1999,1,148443.0,29221,262112,Unpopular
261,Concert or Performance,2000,2,38847717.0,7207367,64650082,Very Popular
262,Concert or Performance,2001,3,3215111.0,568039,5095310,Popular
263,Concert or Performance,2002,3,20338177.0,3500545,31399889,Very Popular
264,Concert or Performance,2003,1,70000.0,11608,104124,Unpopular
265,Concert or Performance,2004,1,1174079.0,189062,1695886,Popular
266,Concert or Performance,2005,3,1154117.0,180048,1615031,Popular
267,Concert or Performance,2006,4,2484609.0,379327,3402563,Popular
268,Concert or Performance,2007,3,192068.0,27915,250398,Unpopular
269,Concert or Performance,2008,11,75628951.0,8718895,78208488,Very Popular
270,Concert or Performance,2009,3,19953639.0,2241766,20108641,Very Popular
271,Concert or Performance,2010,3,3128252.0,387512,3475983,Popular
272,Concert or Performance,2011,6,95445317.0,10795027,96831392,Very Popular
273,Concert or Performance,2012,4,28347099.0,3561192,31943892,Very Popular
274,Concert or Performance,2013,4,64881892.0,7980550,71585534,Very Popular
275,Concert or Performance,2014,3,3148116.0,385326,3456374,Popular
276,Concert or Performance,2015,1,1150000.0,136417,1223660,Popular
277,Concert or Performance,2016,4,27211033.0,3145782,28217665,Very Popular
278,Concert or Performance,2017,3,2984320.0,332699,2984310,Popular
279,Multiple Genres,2000,1,332235.0,61639,552902,Unpopular
280,Multiple Genres,2001,1,2010.0,355,3184,Unpopular
281,Multiple Genres,2002,1,391835.0,67441,604946,Unpopular
282,Multiple Genres,2003,2,498239.0,82626,741155,Unpopular
283,Multiple Genres,2004,2,55134.0,8877,79627,Unpopular
284,Multiple Genres,2006,3,748135.0,114218,1024535,Popular
285,Multiple Genres,2007,2,335887.0,48819,437906,Unpopular
286,Multiple Genres,2008,1,508695.0,70848,635507,Unpopular
287,Multiple Genres,2009,1,644635.0,85951,770980,Unpopular
288,Multiple Genres,2010,3,1173911.0,148783,1334584,Popular
289,Multiple Genres,2011,4,1510823.0,190518,1708946,Popular
290,Multiple Genres,2012,2,1900200.0,238718,2141300,Popular
291,Multiple Genres,2013,1,2142342.0,263510,2363685,Popular
292,Multiple Genres,2014,2,5136187.0,628663,5639107,Popular
293,Multiple Genres,2015,1,2412493.0,286179,2567026,Popular
294,Multiple Genres,2016,4,2862219.0,330890,2968083,Popular
295,Multiple Genres,2017,5,4614134.0,514394,4614114,Popular
296,Multiple Genres,2018,3,4787450.0,533717,4787441,Popular
297,Reality,2014,1,16826.0,2059,18469,Unpopular
298,Reality,2015,3,604870.0,71751,643606,Unpopular
299,Reality,2018,1,2027.0,225,2018,Unpopular
